"Nome do anúncio",Anúncios,Idade,Gênero,Dia,Objetivo,Alcance,Impressões,Frequência,"Valor gasto (BRL)","Tipo de resultado",Resultados,"Custo por resultado","Status de veiculação","Nível de veiculação","Reproduções de 25% do vídeo","Reproduções de 50% do vídeo","Reproduções de 75% do vídeo","Reproduções de 95% do vídeo","Reproduções de 100% do vídeo","Seguidores no Instagram","Cliques no link",Objetivo,"Custo por 1.000 Contas Meta alcançadas","Tipo de valor de resultado","Valor dos resultados","Início dos relatórios","Encerramento dos relatórios","Resultados (iniciais)"
"5 tendencias | primavera | vídeo","5 tendencias | primavera | vídeo",35-44,female,2026-09-03,OUTCOME_ENGAGEMENT,581,695,1.19621343,7.61,"Conversas por mensagem iniciadas",1,7.61,not_delivering,ad,59,30,21,16,14,0,6,Engajamento,13.09810671,,,2026-09-03,2026-09-03,
"Salto dourado | vídeo","Salto dourado | vídeo",25-34,female,2026-09-02,OUTCOME_ENGAGEMENT,86,101,1.1744186,0.85,,,,not_delivering,ad,,,,,,0,1,Engajamento,9.88372093,,,2026-09-02,2026-09-02,
"Bolsa e salto marrom | imagem","Bolsa e salto marrom | imagem",25-34,female,2026-09-02,OUTCOME_ENGAGEMENT,114,130,1.14035088,0.68,,,,not_delivering,ad,,,,,,0,1,Engajamento,5.96491228,,,2026-09-02,2026-09-02,
"Salto dourado | vídeo","Salto dourado | vídeo",18-24,female,2026-09-02,OUTCOME_ENGAGEMENT,20,24,1.2,0.08,,,,not_delivering,ad,,,,,,0,,Engajamento,4,,,2026-09-02,2026-09-02,
"Bolsa e salto marrom | imagem","Bolsa e salto marrom | imagem",18-24,female,2026-09-02,OUTCOME_ENGAGEMENT,63,70,1.11111111,0.27,,,,not_delivering,ad,,,,,,0,3,Engajamento,4.28571429,,,2026-09-02,2026-09-02,
"Salto dourado | vídeo","Salto dourado | vídeo",35-44,female,2026-09-02,OUTCOME_ENGAGEMENT,128,158,1.234375,1.14,,,,not_delivering,ad,,,,,,0,1,Engajamento,8.90625,,,2026-09-02,2026-09-02,
"5 tendencias | primavera | vídeo","5 tendencias | primavera | vídeo",18-24,female,2026-09-02,OUTCOME_ENGAGEMENT,12,12,1,0.05,,,,not_delivering,ad,1,,,,,0,,Engajamento,4.16666667,,,2026-09-02,2026-09-02,
"5 tendencias | primavera | vídeo","5 tendencias | primavera | vídeo",25-34,female,2026-09-02,OUTCOME_ENGAGEMENT,65,70,1.07692308,0.5,,,,not_delivering,ad,7,3,2,1,1,0,,Engajamento,7.69230769,,,2026-09-02,2026-09-02,
"5 tendencias | primavera | vídeo","5 tendencias | primavera | vídeo",35-44,female,2026-09-02,OUTCOME_ENGAGEMENT,78,87,1.11538462,1.11,,,,not_delivering,ad,15,11,9,5,5,0,2,Engajamento,14.23076923,,,2026-09-02,2026-09-02,
"Bolsa e salto marrom | imagem","Bolsa e salto marrom | imagem",35-44,female,2026-09-02,OUTCOME_ENGAGEMENT,158,177,1.12025316,1.63,,,,not_delivering,ad,,,,,,0,2,Engajamento,10.3164557,,,2026-09-02,2026-09-02,
